gen,id,i_ca->o_m0,i_j6->o_m1,i_j4->o_m1,i_j6->h_0,h_0->o_m1,i_devx->o_m1,i_j4->h_1,h_1->o_m1,h_1->h_2,h_2->o_m1,i_j1->o_m0,i_devx->h_3,h_3->o_m1,i_devx->h_4,h_4->h_3,i_j1->o_m1,h_2->h_5,h_5->o_m1,h_3->o_m3,h_4->h_6,h_6->h_3,i_j5->o_m2,h_5->h_7,h_7->o_m1,i_ca->o_m3,h_4->h_8,h_8->h_6,h_3->h_9,h_9->o_m1,i_devx->o_m2,h_4->o_m2,i_m3->o_m1,i_j6->o_m2,i_j3->o_m2,h_0->o_m2,i_m0->o_m0,i_j6->h_1,h_1->h_0,i_m0->o_m3,i_ca->o_m2,h_0->h_2,h_2->o_m2,i_devx->o_m3,h_0->h_3,h_3->h_2,i_m0->h_4,h_4->o_m3,i_j2->o_m3,i_j6->h_5,i_j2->o_m1,i_ca->h_6,h_6->o_m2,i_m3->o_m3,h_6->o_m3,i_m0->h_7,h_7->h_4,i_j3->o_m1,i_m3->h_8,h_8->o_m3,i_ca->h_9,h_9->h_6,i_c->o_m0,h_0->h_1,i_j7->o_m0,i_j1->h_2,h_2->o_m0,i_j7->h_3,h_3->o_m0,i_j7->h_4,h_0->o_m3,h_5->o_m0,i_j7->h_6,h_6->h_4,h_0->h_7,h_7->o_m3,h_8->h_3,h_7->o_m2,i_j6->h_9,h_9->h_0,i_devy->o_m0,h_1->o_m2,i_j0->o_m0,i_m2->o_m3,i_j2->o_m2,i_m3->o_m0,i_m2->h_0,i_ca->o_m1,h_1->o_m3,i_j2->h_2,i_m2->o_m1,i_j2->h_3,i_j0->o_m1,h_1->h_4,i_m2->h_5,h_5->h_0,i_m2->h_6,h_6->o_m1,i_m2->h_7,h_7->h_6,h_0->h_8,h_8->h_1,i_m2->h_9,h_9->h_5,h_7->o_m0,i_m0->h_0,h_0->o_m0,i_ca->h_1,i_j6->o_m0,i_j5->h_2,i_ca->h_3,h_3->h_1,i_j5->h_4,h_4->h_2,i_j0->o_m2,h_4->h_5,h_5->h_2,h_0->h_6,h_6->o_m0,i_j5->h_7,i_m2->o_m2,i_ca->h_8,h_4->h_9,h_1->o_m0,h_4->o_m1,i_j0->o_m3,i_j5->h_0,i_m0->o_m2,i_j1->h_1,h_2->h_1,i_j1->h_3,i_m3->h_4,i_j5->o_m0,i_j5->h_5,i_j6->o_m3,i_c->o_m2,i_j1->h_6,i_m2->h_8,h_8->o_m1,i_j7->o_m2,h_3->o_m2,h_6->h_9,h_9->h_3,i_j2->h_0,i_devy->o_m1,i_c->o_m3,i_c->h_3,i_c->h_4,i_j3->o_m3,i_j2->h_5,i_devy->h_6,h_7->h_0,i_j3->h_9,h_9->o_m2,i_c->o_m1,i_m3->h_0,i_j3->h_1,i_ca->h_4,i_j4->o_m0,h_3->h_5,i_j5->o_m1,h_5->h_6,i_j4->h_7,i_j3->o_m0,h_5->h_8,i_devx->o_m0,i_j3->h_0,i_j3->h_2,i_j7->o_m1,i_j3->h_3,h_3->h_4,h_5->h_1,h_3->h_6,h_4->h_7,h_7->h_2,i_devx->h_8,i_devx->h_9,h_9->h_8,i_j1->o_m3,i_j7->h_0,i_j7->h_1,i_j4->o_m2,h_2->o_m3,i_j1->o_m2,i_j4->h_3,i_j1->h_5,i_devy->o_m3,h_1->h_6,h_6->h_0,i_j0->h_8,h_8->o_m2,h_5->h_9,h_9->h_2,i_m1->o_m0,i_j6->h_2,h_2->h_0,i_m2->o_m0,h_2->h_4,h_4->h_0,i_m1->h_5,h_3->h_7,i_j5->o_m3,h_3->h_8,h_8->h_7,i_j5->h_9,h_9->o_m3,i_devx->h_0,i_m1->o_m2,i_j1->h_4,h_5->o_m2,h_7->h_1,h_8->o_m0,i_m1->o_m1,i_m0->o_m1,i_j7->o_m3,i_j2->o_m0,h_5->o_m3,h_9->o_m0,i_devy->o_m2,h_4->o_m0,i_j4->o_m3,i_m1->o_m3,i_m3->o_m2,i_devy->h_4,h_0->h_5,h_6->h_8,i_c->h_9,h_0->h_9,h_0->h_4,i_m3->h_7,i_c->h_8,i_devy->h_5,i_devy->h_7,h_1->h_8,h_8->h_4,i_m2->h_4,h_9->h_4,h_7->h_5,i_m0->h_8,h_6->h_5,h_1->h_9,h_5->h_5,h_6->h_6,i_devy->h_8,i_m1->h_8,h_7->h_8,i_ca->h_5,i_devy->h_9,h_8->h_9,i_c->h_5,i_c->h_7,h_5->h_4,h_6->h_7,i_j4->h_8,i_j0->h_9,h_8->h_8,i_m3->h_9,i_m1->h_7,h_9->h_7,i_m1->h_4,h_8->h_5,i_j5->h_8,i_c->h_6
1,0-10,,,,,,,,,,,,,,,,,,,,,,,,1.0550136108952823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3070210389812557,,,,,,,,,,,,,,,,,,,,1.414752463182467,,,,,,,,,-0.984655313364428,,,,,,,,,,,,,,,,,,,,,1.0854569264630387,,,,,,,,,,,,,,,,,-0.1105847137442292,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5607016331120267,,,,,,1.0,0.7761772461044577,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0-2,,,,,,,,0.7937212235722793,,0.8554856690565655,,,,,,,,,0.6131090688455808,,,,,-0.9475705315077284,0.8442152149341635,1.1916237524059687,,,,,,,,,,,,,,,,,-0.0395619427700966,,,,,,,,,,0.457271456846704,,,,,,,,,1.0505746278629455,,,,,,,,,0.7580366319473169,,1.0,0.775931904250127,1.0285448482737674,0.8406356035128028,0.6866480288446588,,1.121322046472587,,0.1267971624923944,,,,,,,,,,,,,,,,,,,,,,,-0.3954818768262387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7702276112598185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2-1,,,,,,,,1.0,,0.6000295154111209,,,,,,,,,0.4834998318981319,,,,,,0.8442152149341635,1.1916237524059687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9340808982252804,,,,,,,,,0.7416386966552803,,1.0,0.4459430061884169,1.0285448482737674,0.861568141935487,0.5653911472981766,,1.2671218931782298,0.7335843638243185,0.1267971624923944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0500472787043173,,,,,,,,,,,,,,,,,,-0.1620784470000071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3-2,,,,,,,,1.0,,0.6000295154111209,,,,,,,,,0.4834998318981319,,,,,,0.8442152149341635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9340808982252804,,,,,,,,,0.7492358738627307,,1.0,0.4459430061884169,1.0285448482737674,,-0.2495246407472209,,1.2671218931782298,0.7335843638243185,0.1267971624923944,,,,,,,,,,,,,,,,,,,,,,,-0.1536648939719542,,,,,,,,,,,,,,,,,,,,,,,-0.0489751747877647,,,,,,,,,,,,,,,,,,-0.1620784470000071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4-2,,,,,,,,,,,,,,,,,,,0.5651848110696558,,,,,,0.8026492406768284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0707120136338617,,,,-0.6734452078605166,,,,,0.8244234174104089,,1.0661167306187178,0.6254285264893448,0.96373389962295,,0.3126860179403466,,1.0588105651573496,0.7335843638243185,0.1267971624923944,,,,,,,,,,,,,,,,,,,,,,,-0.1536648939719542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1620784470000071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5-1,,,,,,,,,,,,,,,,,,,0.3928105269975553,,,,,-0.8748106760507497,0.7650806405144333,1.292767295404707,,,,,,,,,-0.0931054850606714,,,,,,,,-0.0745600614436626,,,,,,,,,,0.457271456846704,,,,,,,,,1.1689170320958349,,,,,,,,,0.9462368841664408,,,0.7367675189657461,0.9394411501403056,1.0849606216483252,0.4968297834468526,,0.8152354282409073,,0.1186149461582597,,,,,,,0.0275639923860164,,,,,,,,,,,,,,,,-0.5251953037945387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7702276112598185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9628022985436228,0.1150370275497325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5-1,,,,,,,,,,,,,,,,,,,0.3928105269975553,,,,,-0.8748106760507497,0.7650806405144333,1.292767295404707,,,,,,,,,-0.0931054850606714,,,,,,,,-0.0578206409494535,,,,,,,,,,0.457271456846704,,,,,,,,,1.1689170320958349,,,,,,,,,,,,0.7367675189657461,0.9394411501403056,1.0849606216483252,0.4968297834468526,,0.8152354282409073,,-0.1121399538321846,,,,,,,0.0275639923860164,,,,,,,,,,,,,,,,-0.4497944853522834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7702276112598185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9628022985436228,-0.2221862217087956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7-2,,,,,,,,,,0.5311806595708,,,,,,,,,0.4272196249537764,,,,,,0.8558788618863982,,,,,,-0.4458734948132774,,,,,0.823657606296909,,,,,,,-0.0745600614436626,,,,,,,,,,0.457271456846704,,,,,,,,,1.0545275433502908,,,,,,,,,,,,0.5274381292046899,,0.8837740294361138,,,0.9160563460081568,,0.1652493982303604,,,,0.4604193449935134,,,,,,,,,,,,,,,,,,,-0.2626577399927936,,,,,,,,,,,,,,,,-0.7286109435370269,,,-0.3191266791093866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997542180103639,0.3441236672468262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8-2,,,,,0.7729752351950656,,,,,1.0726973159272877,,,,,,,,,,,,,,,0.8159558679426183,1.292767295404707,,,-0.6793298999569364,,,,,,,0.4854401024573944,,,,,,,-0.0773828885293743,,,,,,,,,,0.457271456846704,,,,,,,,,1.0792602933873645,,,,,,,,,,,,0.6194779933497172,0.95025066036841,,,,1.010370388893958,,-0.0540491192339089,,,,0.4604193449935134,,,,,,,,,,,,,,,,,,,-0.364602691772424,,,,,,,,,,,,,,,,,,,-0.3924978214639305,,,,,,,,,,,,,,,,,0.5491850309451858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9730991554190144,-0.019508903242387,-0.7271921069459828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9-0,,,,,,,,,,0.8801399347893465,,,,,,,,,0.3882075446905477,,,,,,0.9217741865272148,,,,,,,,,,,0.7100244828880186,,,,,,0.8703373574379467,-0.0715990752582374,,,,,,,,,,0.457271456846704,,,,,,,,,1.032178927660991,,,,,,,,,,,,0.56550966464776,0.4686684542079604,1.167995751321414,,,1.094700375269045,,0.0591489293825092,,,,0.4604193449935134,,,,,,,,,,,,,,,,,,,-0.288286941404912,,,,,,,,,,,,,,,,-0.7286109435370269,,,-0.3705347132795475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.007762613895174,0.409477360639809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
