gen,id,i_j6->o_m2,i_m3->o_m3,i_j6->h_0,h_0->o_m2,i_j7->o_m3,h_0->h_1,h_1->o_m2,h_0->o_m3,i_m3->h_2,h_2->o_m3,h_2->h_3,h_3->o_m3,h_0->h_4,h_4->o_m2,i_j5->o_m3,h_4->h_5,h_5->o_m2,i_j6->h_6,h_6->h_0,h_5->h_7,h_7->o_m2,i_j0->o_m3,i_c->o_m3,h_0->h_8,h_8->h_4,i_j5->o_m2,i_j0->h_9,h_9->o_m3,i_j3->o_m2,i_j7->o_m2,i_j0->o_m2,i_j7->h_0,i_j7->h_1,h_1->h_0,i_j7->h_2,h_2->h_1,h_0->h_3,h_3->h_4,h_4->o_m3,i_j1->o_m2,h_3->h_5,h_5->h_4,h_1->o_m3,i_j4->o_m3,i_j5->h_6,h_6->o_m3,h_3->o_m2,h_6->h_7,h_7->o_m3,i_j0->h_8,h_8->o_m2,h_3->h_9,h_9->o_m2,i_j4->o_m2,i_m3->o_m2,i_j4->h_0,i_c->o_m2,i_j4->h_1,i_c->h_2,h_2->o_m2,i_c->h_3,h_3->h_2,i_j6->o_m3,i_m2->o_m3,i_c->h_5,h_5->h_3,i_j3->o_m3,h_3->h_6,h_6->h_2,h_3->h_7,h_7->h_6,h_6->h_8,h_8->h_2,h_8->h_9,h_9->h_2,i_j1->o_m3,i_j3->h_2,h_1->h_4,i_ca->o_m2,i_j0->h_5,i_ca->h_6,h_6->o_m2,i_m3->h_8,h_8->o_m3,h_7->h_9,i_j2->o_m3,i_j2->h_0,i_j2->h_1,i_j6->h_2,i_j2->h_3,h_3->h_1,h_4->h_1,i_j3->h_5,h_5->o_m3,h_2->h_6,i_j3->h_7,h_7->h_5,i_j2->h_8,h_8->h_3,h_9->h_3,i_m2->o_m2,i_j0->h_0,i_j0->h_1,i_m3->h_3,h_2->h_4,h_0->h_5,i_m2->h_6,i_j5->h_7,h_4->h_8,h_4->h_9,h_9->h_8,h_1->h_2,h_2->h_0,i_j4->h_3,i_j4->h_4,h_4->h_3,h_2->h_5,i_j4->h_7,h_7->h_4,h_1->h_8,i_j7->h_6,i_j7->h_7,h_7->h_8,h_3->h_0,h_4->h_0,i_m3->h_5,h_4->h_6,h_7->h_0,h_3->h_8,i_j2->o_m2,i_j1->h_0,i_j1->h_3,i_j1->h_4,h_0->h_6,h_6->h_1,h_1->h_7,h_8->h_7,h_5->h_9,i_c->h_0,i_m3->h_1,i_j0->h_2,h_1->h_3,i_c->h_4,h_5->h_6,h_6->h_4,h_4->h_7,h_6->h_9,i_j3->h_0,i_j3->h_1,i_ca->o_m3,i_j5->h_5,h_9->h_6,i_m2->h_2,h_9->h_4,h_9->h_5,i_j0->h_7,h_5->h_2,i_c->h_6,i_c->h_7,h_7->h_3,i_m2->h_9,i_j4->h_2,i_ca->h_3,i_j0->h_4,i_ca->h_9,i_j3->h_4,i_m2->h_5,i_j0->h_6,i_m3->h_7,h_2->h_8,i_j4->h_9,i_j3->h_3,i_m3->h_4,h_4->h_2,h_0->h_7,i_j6->h_8,i_j2->h_9,h_4->h_4,h_1->h_5,i_m2->h_3,i_j6->h_5,i_ca->h_2,i_m2->h_4,h_1->h_9,i_j6->h_3,h_0->h_2,i_ca->h_4,i_j6->h_7,h_6->h_3,i_c->h_8,i_j2->h_5
1,0-2,,,,,,,,,,,,,1.2911933486177618,0.900981489856847,,,-0.4806278229119709,,,,,-0.8816990502821922,,,,,,,,,,,,0.8514293005135185,,,,,,,,,,,,0.214146191161279,,,,,0.1045283483903787,,,,,,,,,0.93372508177149,,,0.634808713527104,0.6902405600563781,0.7158147518583358,1.1313128232088727,,,,0.7562013928221565,,,,1.138361118218736,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1-1,,,,,,,,,,,,-0.6517492722607281,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.6027368003551714,,,,,,-0.6990716393316172,,,,,-0.5284749405330305,0.9183616218658944,,,,,,,,,0.9450472780442868,,,0.309377675916556,,,,,,,1.1116775857540684,,,,,,,,1.2016129182413149,,,,0.3323010752080841,,,,,,,,,1.0,0.6877571948396937,0.9906576707966024,0.645108403915519,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2-2,,,,,-0.8417913450449626,,,,,,,-0.6252449717267988,,,,,0.47860342692187,,,,,,,,,,,,,,,,,,,,,0.900723175275356,,0.3754251692163211,,,,,,,,,-0.7161633513396394,,,,,-0.3756037598109558,0.9183616218658944,,,,,0.4060952369980026,,,,,,,,,,,,,,1.0886287717715109,,,,,-0.2142345779643018,,,1.2016129182413149,,0.6696010518681013,,0.1244297233040752,,,,,,0.844481878816801,,,1.0,0.6877571948396937,0.9084575799235218,0.645108403915519,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3-1,,,,,-0.7358658724633838,,,-0.2561202200634345,,,,-0.5928470534734853,,,,,,,,,-0.758171403329305,,,,,,,,,,,,,,,,,0.7793707008812423,,,,,0.1855194704025113,,,,,,-0.7370556547504092,,,,,-0.1887394428303542,1.1051802456303133,,,,,,,,,,,,,,,,,,,1.0819524673462035,,,,,,,,1.2016129182413149,,,,0.3323010752080841,,,,,,0.844481878816801,,,1.0,0.8330154774138121,0.8079791001722133,0.645108403915519,,1.0,-0.7321331746937478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4-1,0.714224181035102,,,,-0.6595513860769806,,,-0.2561202200634345,,,,-0.6221077434517291,,,,,,,,,-0.9482460973892568,,,,,,,,-0.7054282185690861,,,,,,,,,0.8950712462524603,,,,,0.3927793529103587,,,,,,,,,,,-0.3423104411964366,1.0123748820178178,,,,,,,,,,,,,,,,,,,1.35284486838665,,,,,,,,1.2664381831050693,,,,0.3323010752080841,,,,,,0.844481878816801,,,1.0,0.7318569730181606,0.8720853619612546,0.645108403915519,,0.8047532487039963,-0.7438193004021809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4-1,0.714224181035102,,,,-0.6595513860769806,,,-0.436790373228958,,,,-0.6221077434517291,,,,,,,,,-0.9482460973892568,,,,,,,,-0.7054282185690861,,,,,,,,,0.8950712462524603,,,,,0.4132955402290688,,,,,,,,,,,-0.3633344378327832,1.0123748820178178,,,,,,,,,,,,,,,,,,,1.35284486838665,,,,,,,,1.2664381831050693,,,,0.5076054439519904,,,,,,0.844481878816801,,,1.0,0.4258823906647461,0.8720853619612546,0.645108403915519,,0.8047532487039963,-0.7438193004021809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5-2,,,,,-1.0629903150504003,,,-0.2561202200634345,,,,-0.3293224684458452,,-0.8670402733673064,,,,,,,,,,,,,,,,,-0.7751012942778337,,,,,,,0.9079521540280076,,,,,,,,,,,-0.7908855119083442,,,,,-0.5693206819219812,1.1051802456303133,,,,,,,,,0.2252112593381596,,,,,,,,,,1.0819524673462035,,,,,,,,1.1089896019096055,,,,0.1738097537324989,,,,,,0.9105670468653462,,,1.0,0.8330154774138121,0.8079791001722133,0.7989456798108356,,1.0,-0.7321331746937478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7-0,,,,,-0.9348014631027974,,,-0.2561202200634345,,,,-0.6577098433019688,,-0.8670402733673064,,,,,,,,,,,,,,,,,-0.5563769653918065,,,,,,,0.9946210751536118,,,,,,,,,,,-0.7908855119083442,,,,,-0.7058041415873577,1.1031963656839316,,,,,,,,,,,,,,,,,,,1.1680259307550664,,,,,,,,1.1590173791386968,,,,0.2798701342296756,,,,,,0.745343211024852,,,1.0,0.7036528422485647,0.8283482502745603,0.6029847071814425,,0.9379622165892104,-0.8618958157816838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9276760415363698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7-0,,,,,-0.9348014631027974,,,-0.2561202200634345,,,,-0.6577098433019688,,-0.8398084865570976,,,,,,,,,,,,,,,,,-0.6688417115395748,,,,,,,0.9946210751536118,,,,,,,,,,,-0.7908855119083442,,,,,-0.7058041415873577,1.1031963656839316,,,,,,,,,,,,,,,,,,,1.1680259307550664,,,,,,,,1.0844662136362868,,,,0.2798701342296756,,,,,,0.745343211024852,,,1.0,0.9346759199186196,0.8283482502745603,0.6029847071814425,,0.9379622165892104,-0.7393696674336097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9276760415363698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9-0,,,,,-0.9348014631027974,,,-0.2561202200634345,,,,-0.6577098433019688,,-0.8040036877939809,,,,,,,,,,,,,,,,,-0.8481160911375183,,,,,,,0.9946210751536118,,,,,,,,,,,-0.7908855119083442,,,,,-0.5751174143339676,1.1031963656839316,,,,,,,,,,,,,,,,,,,1.1680259307550664,,,,,,,,0.9556480806436088,,,,0.2798701342296756,,,,,,0.745343211024852,,,1.0,0.9346759199186196,0.8283482502745603,0.6029847071814425,,1.0460854834348188,-0.7393696674336097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9276760415363698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,8-0,,,,,-0.9510020046852754,,,-0.2561202200634345,,,,,,-0.8670402733673064,,,,,,,,-0.7806678442696331,,,,-0.9642646213299416,,,,,,,,,,,,0.9876797652945852,-0.8214889720499976,,,,,,,,,,,,,,,-0.7565562078282886,1.2005950191055037,,,,,,,,,,,,,,,,,,,1.0556645488613976,,,,,,,,1.1769618470073724,,,,0.317912941553611,,,,,,0.7082367114172454,,,0.8925505695407462,0.6572517471229532,0.8356544625383994,0.6029847071814425,,0.915709878533875,-0.8233132231351868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7252296693958469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9-0,,,,,-0.9348014631027974,,,-0.2561202200634345,,,,-0.6141076391019715,,-0.9823908267919812,,,,,,,,,,,,,,,,,-0.916936676791732,,,,,,,0.9946210751536118,,,,,,,,,,,-0.7908855119083442,,,,,-0.5751174143339676,1.1031963656839316,,,,,,,,,,,,,,,,,,,0.9985685228893686,,,,,,,,0.9556480806436088,,0.6925316716340371,,0.3203233766105243,,,,,,0.745343211024852,,,,0.9346759199186196,0.6266360858444786,0.8106410681016839,,0.8645133544852267,-0.7393696674336097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1272082009250717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,11-1,,,,,-0.967134455657184,,,,,,,-0.635258243020776,,-0.8040036877939809,,,,,,,,,,,,,,,,,,,,,,,,1.213153782607353,,,,,,,,,,,-0.7908855119083442,,,,,-0.627100224927394,1.0642024253797948,,,,,,,,,,,,,,,,,,,1.2319984972094886,,,,,,,,0.9866536374661804,,-0.8141360451001745,,0.2941020201371207,,,,,,0.8904041339248171,,,1.0,,0.7642812375608228,0.8106410681016839,,0.966079925396112,-0.7393696674336097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9276760415363698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13-2,,,,,-1.1268353094276398,,,-0.2998350610855115,,,,-0.6850276864746969,,-0.8379715054688454,,,0.0436183714866662,,,,,,,,,0.3093740546300774,,,,,-1.0373733626868806,,,,,,,0.9946210751536118,,,,,,,,,,,,,,,,-0.6870028727253177,1.1265451489954788,,,,,,,,,,,,,,,,,,,1.3502036896957017,,,,,,,,0.9556480806436088,,,,,,,,,,0.745343211024852,,,1.0,0.8666182232296755,0.6171190630357296,0.7690646601464963,,0.8681442540720423,-0.7393696674336097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9564771197519308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14-2,,,,,-1.0213143186020766,,,-0.2998350610855115,,,,-0.5603554195466616,,-0.8657168239691584,,,-0.0492610126776552,,,,,,,,,-0.2224237397355816,,,,,-0.8353343173219664,,,,,,,1.1390147166018687,,,,,,,,,,,,,,,,-0.6666383490095135,1.0853527207061051,,,,,,,,,,,,,,,,,,,1.2721006067290963,,,,,,,,0.9875627036683094,,,,,,,,,,0.7770905017038954,,,1.0,0.8666182232296755,0.7143552274099807,0.7965359206865626,,0.93285442205985,-0.5974525821950876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.937447050479297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15-1,,,,,-0.99223149646469,,,-0.2998350610855115,,,,-0.6000158559216242,,-0.8334512261702512,,,0.1260845373645107,,,,,,,,,-0.3651841120821911,,,,,-0.8795163190178068,,,,,,,1.1777769872168202,,,,,,,,,,,,,,,,-0.5643183676100211,1.088179978975338,,,,,,,,,,,,,,,,,,,1.4679042511764235,,,,,,,,0.6852455751762141,,,,,,,,,,0.814471026839167,,,1.0,0.8666182232296755,0.6872582480284186,0.8476372213429452,,0.917409905585554,-0.6358375298434032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8088013990081097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,15-1,,,,,-0.99223149646469,,,-0.2998350610855115,,,,,,-0.8334512261702512,,,0.1260845373645107,,,,,,,,,-0.3250142689630637,,,,,-1.0777167396819436,,,,,,,1.1777769872168202,,,,,,,,,,,,,,,,-0.5643183676100211,1.088179978975338,,,,,,,,,,,,,,,,,,,1.4679042511764235,,,,,,,,0.5294523454171054,,,,,,,,,,0.814471026839167,,-0.3920629052302862,1.0,0.8666182232296755,0.4444218154241888,0.8476372213429452,,0.917409905585554,-0.6358375298434032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8088013990081097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17-0,,,,,-0.9946792433994596,,,-0.0711531761019326,,,,,,-0.8180467929300389,,,0.1260845373645107,,,,,,,,,-0.6625653388206039,,,,,-0.7903628139654693,,,,,,,1.010366314507346,,,,,,,,,,,,,,,,-0.579743116786241,1.086943017579652,,,,,,,,,,,,,,,,,,,1.1168142400575771,,,,,,,,0.8776056742269919,,,,,,,,,,0.8852759379413947,,-0.398004068883083,1.0,0.8666182232296755,0.6117251273737194,0.9019322359303764,,0.8784436649385683,-0.6358375298434032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6814768190467444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,18-1,,,,,-0.9631484210761428,,,,,,,-0.6362123717726618,,-0.7157620415759336,,,,,,,-0.933958470165988,,,,,-0.607943549943705,,,,,-0.8671018517504289,,,,,,,1.0461885761516754,,,,,,,,,,,,,,,,-0.4148367679814947,0.95048961842775,,,,,,,,,,,,,,,,,,,1.205786596492966,,,,,,,,1.0339579445724645,,-0.9918126543802778,,,,,,,,0.8312168132678223,,,0.9859699153271168,,0.6769349215092215,0.8984509840091562,,0.9609400845979704,-0.5572828760147452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6859846390828618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,19-2,,,,,-0.9631484210761428,,,,,,,-0.4884678716941243,,-0.7157620415759336,,,,,,,,0.9826584386098904,,,,-0.607943549943705,,,,,-0.8671018517504289,,,,,,,1.0461885761516754,,,,,,,,0.3149397402421829,,,,,,,,-0.4148367679814947,0.95048961842775,,,,,,,,,,,,,,,,,,,1.205786596492966,,,,,,,,1.0339579445724645,,-1.101242927137884,,,,,,,,0.7269475786282926,,,1.2314577427571065,,0.6769349215092215,0.8984509840091562,,0.9609400845979704,-0.5572828760147452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6859846390828618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,19-2,,,,,-0.9631484210761428,,,,,,,-0.4884678716941243,,-0.9757617808855932,,,,,,,,1.2263810773672683,,,,-0.607943549943705,,,,,-0.8671018517504289,,,,,,,1.0461885761516754,,,,,,,,0.3149397402421829,,,,,,,,-0.2882796692553305,0.95048961842775,,,,,,,,,,,,,,,,,,,1.205786596492966,,,,,,,,1.2409886130090797,,-1.101242927137884,,,,,,,,0.7802169747532507,,,1.2314577427571065,,0.6769349215092215,0.8984509840091562,,0.9609400845979704,-0.5572828760147452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4982116728328435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,19-2,,,,,-0.9631484210761428,,,,,,,-0.5752450978507274,,-0.9757617808855932,,,,,,,,1.2263810773672683,,,,-0.607943549943705,,,,,-0.8671018517504289,,,,,,,1.0461885761516754,,,,,,,,0.3351255537532012,,,,,,,,-0.2882796692553305,0.95048961842775,,,,,,,,,,,,,,,,,,,1.205786596492966,,,,,,,,,,-1.2211191204427587,,,,,,,,0.7802169747532507,,,1.2314577427571065,,0.6769349215092215,0.8984509840091562,,0.9609400845979704,-0.5572828760147452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4644876444171786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,22-2,,,,,-0.9297579451642486,,,0.8635507250971155,,,,-0.7915780042675813,,-0.7281525899887225,,,-0.2342107923837424,,,,,,,,,,,,,,-0.7582500272701771,,,,,,,,,-0.2940870051585287,,,,,,,-0.0281359743448953,,-0.5196219511629502,,,,,-0.4274017756723441,0.7633607540738017,,,,,,,,,,,,,,,,,,,1.156972189341238,,,,,,,,0.939489244796043,,-0.9850326541507152,,,,,,,,,,,0.9616203540885518,,0.8012219075351265,1.023506961169658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7858846867552064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,22-2,,,,,-0.9297579451642486,,,0.8635507250971155,,,,-0.7915780042675813,,-0.872866849319762,,,-0.2342107923837424,,,,,,,,,,,,,,-0.7582500272701771,,,,,,,,,-0.346123177442342,,,,,,,-0.0281359743448953,,-0.7094452770482318,,,,,-0.2996816342024801,0.7633607540738017,,,,,,,,-0.0907629601357724,,,,,,,,,,,1.156972189341238,,,,,,,,0.939489244796043,,-0.9850326541507152,,0.0005973145783813,,,,,,,,,0.9616203540885518,,0.8012219075351265,1.023506961169658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9425360066163678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,24-0,,,,,-0.9297579451642486,,,0.7781876272230376,,,,-0.7915780042675813,,-0.872866849319762,,,-0.2342107923837424,,,,,,,,,,,,,,-0.7221510896248626,,,,,,,,,-0.346123177442342,,,,,,,-0.0281359743448953,,-0.7094452770482318,,,,,-0.2996816342024801,0.5297249371447764,,,,,,,,,,,,,,,,,,,,,,,,,,,0.939489244796043,,-0.9850326541507152,,-0.1930600011707448,,,,,,,,,0.9616203540885518,,0.8012219075351265,1.2042275829336135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9425360066163678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
