gen,id,i_j0->o_m2,i_m2->o_m3,i_j3->o_m3,i_j1->o_m3,i_j3->h_0,h_0->o_m3,i_m2->h_1,h_1->o_m3,i_m2->h_2,h_2->h_1,i_j0->h_3,h_3->o_m2,h_3->h_4,h_4->o_m2,i_m3->o_m3,h_3->h_5,h_5->h_4,i_j4->o_m2,i_j4->h_6,h_6->o_m2,h_0->o_m2,i_j0->h_7,h_7->h_3,h_4->o_m3,i_j3->h_8,h_8->h_0,i_j7->o_m3,i_m3->o_m2,i_m2->h_0,i_j5->o_m3,i_j5->h_1,i_m3->h_2,h_2->o_m2,i_j5->h_3,h_3->h_1,i_j4->o_m3,i_j4->h_4,i_j1->h_5,h_5->o_m3,i_c->o_m3,i_j5->h_6,h_6->h_3,i_j3->o_m2,h_2->h_7,h_7->o_m2,i_j5->o_m2,h_2->h_8,h_8->h_7,h_7->h_9,h_9->o_m2,h_9->o_m3,i_j6->o_m3,h_6->o_m3,i_j1->o_m2,i_j6->o_m2,i_j6->h_0,i_j6->h_1,h_1->h_0,h_1->h_2,h_2->h_0,i_ca->o_m2,h_1->h_3,h_3->h_2,h_1->h_4,h_4->h_3,h_0->h_5,h_5->o_m2,h_1->h_7,h_7->h_4,i_ca->h_8,h_8->o_m2,h_9->h_4,i_j1->h_0,h_0->h_1,h_0->h_2,h_3->o_m3,h_5->h_0,h_1->h_6,i_ca->o_m3,h_6->h_7,i_j2->o_m2,h_8->o_m3,h_2->h_9,h_9->h_1,i_c->o_m2,i_j2->o_m3,i_j2->h_0,i_j2->h_1,h_0->h_6,h_6->h_5,i_ca->h_7,h_7->h_8,h_3->h_9,h_9->h_2,i_j0->o_m3,h_1->o_m2,i_j6->h_2,h_2->h_3,h_3->h_0,i_j1->h_4,i_j2->h_6,h_0->h_7,h_7->h_1,i_j0->h_8,i_j1->h_9,i_m2->o_m2,i_c->h_0,i_j0->h_1,i_m2->h_3,i_c->h_4,h_4->h_0,i_j2->h_7,h_7->h_6,h_5->h_8,i_j3->h_9,i_j5->h_0,i_j5->h_2,i_j5->h_4,h_4->h_2,h_1->h_5,h_5->h_3,i_j6->h_6,h_5->h_7,h_2->o_m3,i_m3->h_8,h_4->h_9,i_j7->o_m2,i_ca->h_0,i_ca->h_2,h_2->h_5,i_m2->h_6,h_7->o_m3,i_m3->h_9,h_0->h_3,h_5->h_6,h_0->h_8,h_8->h_5,h_0->h_9,h_9->h_8,i_m3->h_3,i_m3->h_4,h_4->h_5,h_6->h_2,h_7->h_0,i_j4->h_9,i_j3->h_2,i_j3->h_3,h_5->h_2,i_j3->h_7,h_8->h_2,h_5->h_9,i_j4->h_2,i_ca->h_3,h_4->h_4,h_7->h_5,i_j0->h_6,i_j4->h_7,i_j5->h_9,i_c->h_3,i_m3->h_6,h_4->h_8,i_j7->h_9,i_j6->h_4,h_8->h_8,h_9->h_3,i_j2->h_2,i_j4->h_3,i_ca->h_4,i_j4->h_5,h_8->h_6,h_8->h_9,i_j7->h_3,i_m2->h_4,i_j0->h_5,i_j7->h_6,i_j2->h_3,h_8->h_4,h_4->h_6,i_c->h_9,i_c->h_2,h_8->h_3,h_9->h_5,i_j0->h_4,i_ca->h_6,i_j6->h_7,i_j4->h_8,h_6->h_8,h_7->h_2,i_m2->h_8,i_c->h_6,h_4->h_7,i_j2->h_9,h_2->h_6,i_m2->h_7,i_j6->h_8,i_j0->h_9,i_j7->h_4,i_j3->h_5,h_9->h_7,i_j0->h_2,i_j2->h_4,i_m2->h_5,i_j3->h_6,i_j3->h_4,h_9->h_6,h_9->h_9,i_j5->h_5,h_3->h_8,i_j7->h_2,i_j5->h_7,h_2->h_4,h_6->h_4,i_m3->h_7,h_3->h_7,h_6->h_6,i_c->h_5,h_2->h_2,h_3->h_3,i_j7->h_5,h_3->h_6,i_c->h_7,i_m2->h_9,i_j2->h_5,i_j7->h_8,i_j6->h_9,i_j6->h_5,i_ca->h_9,i_j5->h_8,h_7->h_7,i_j1->h_3,i_c->h_8,i_j1->h_7,i_j2->h_8,h_6->h_9,i_j6->h_3,i_j1->h_8,i_j1->h_2,h_5->h_5,i_j1->h_6,i_j7->h_7,i_m3->h_5
1,0-7,,,,,,1.280917092681935,,,,1.14845995689376,,,,,,,,,,1.0,-0.5928645655334535,,1.0,,,,-0.2087530887891402,,,,,,-0.9060180567608354,,,,,,0.7225154137582834,,,,,,-0.2804739643695614,,,,,,,,,,,,,,,,,,,,,,-0.3069323003517652,,,,,,,,,,,,-0.160825016446708,,,1.0,,,,0.9984870854779284,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,-0.0630620548958948,,0.9812489882554728,,-0.6448096070094156,1.0,,0.2572082954717869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1-4,-0.2681749677578664,,,,,1.193900680874692,,-0.2983430434219163,,,,,,-0.4885376417722906,,,,0.4998887013045777,,0.958000453778078,-0.5272891787619725,,,,,,-0.2663700303071586,-0.206194696384566,,,,,,,,,,,0.5303316650787494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.243531409203991,,,0.7908585218174802,,0.6495960046600445,,,,,,,,,,,,,0.8425197223619308,-0.0954108086785621,,,,1.1514915893772155,,,,,,,,,,,,,,,,,,,,,0.9812489882554728,,-0.5634605722582833,,,0.2572082954717869,,-0.603990885589097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2-0,,0.727811520458058,,,,1.4351432073806172,,0.0784921308438857,,,,,,,,,,0.5978469373054425,,,-0.5690163928930048,,1.0725402252545535,,,,,-0.1847081028856065,,,,,-0.8236155034824594,,,,,,0.8636344463731789,,,,,,,,,,,,,-0.9593697166577536,,,0.2094608289717816,,,,,,,,,,,,0.2180717636774948,,,,,,,,,,,,-0.325297115710276,,,,,,,,,,,,,,,0.8278573248372728,,,,,0.8153278524023635,,,,,,,,,,,,,,,,,,,-0.0597127369859878,,,,,0.8620342285337266,-0.2202163494560964,0.3064296230591732,,-0.0093163612193645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3-1,,0.727811520458058,,,,1.5967528855796456,,0.0784921308438857,,,,,,,,,,0.5978469373054425,,-0.1654835330415918,-0.5690163928930048,,1.0725402252545535,,,,,,,,,,-0.9375636942128038,,,,,,0.8636344463731789,,,,,,,,,,,,,-0.9593697166577536,,,0.2094608289717816,,,,,,,,,,,,-0.0034056085306252,,,,,,,,,0.3423190847469839,,,-0.325297115710276,,,,,,,,,,,,,,,0.7401605172812806,,,,,0.8153278524023635,,,,,,,,,,,,,,,,,,,-0.0853046351378078,,,,,,-0.2202163494560964,0.3064296230591732,,0.1897616664372192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3-1,,0.9780547200419292,,0.7989293202858112,,1.4351432073806172,,0.0784921308438857,,,,,,,,,,0.8066837367382332,,,-0.5690163928930048,,1.0725402252545535,,,,-0.3841322475442286,-0.3904987557412283,,,,,,,,,,,0.8636344463731789,,,,,,,,,,,,,-0.9457817728150272,,,,,,,,,,,,,,,0.0707633073780162,,,,,,,,,,,,-0.4848880572897159,,-0.783849092151492,,,,,,,,,,,,,0.6687804301354655,,,,,0.8153278524023635,,,,,,,,,,,,,,,,,,,-0.0597127369859878,,,,,0.8620342285337266,-0.2202163494560964,0.3064296230591732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5-0,,0.8335548502886991,,,,1.4641080906047883,,0.0277146924202325,,,,,,,,,,0.7069040336484196,,,-0.5690163928930048,,1.179460068455157,,,,-0.1824140507136399,-0.2716674644872856,,,,,,,,,,,0.7362599517601568,,,,0.8437439221651264,,,,,,,,,-0.876357628329282,,,,,,,,,,,,,,,0.2305661764960545,,,,-0.5489937593854755,,,,,,,,-0.5241920108733745,,-0.783849092151492,,,,,,,,,,,,,0.7405999664376883,,,,,0.9232437262658988,,,,,,,,,,,,,,,,,,,-0.0710436460821145,,,,,0.9077693800883918,-0.0415331055080427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3-1,0.0103507550542241,0.9780547200419292,,0.6454154658544917,,,,0.0925963367181421,,,,,,,,,,0.8066837367382332,,,,,0.9998397168577642,,,,-0.1974652240536974,-0.2807361388380003,,,,,,,,,,,0.7036511582585792,,,,,,,0.1015927232523823,,,,,,-0.9962181468021898,,,,,,,,,,,,,,,0.0838260128942085,,,,,,,,,,,,-0.3646932103314942,,-0.8480110291596635,,,,,,,,,,,,,0.7819135451792538,,,,,0.8153278524023635,,,,,,,,,,,,,,,,,,,-0.0597127369859878,,,,,0.8620342285337266,-0.2202163494560964,0.3064296230591732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3-1,0.0103507550542241,0.9160918527486716,,0.6454154658544917,,,,0.0925963367181421,,,,,,,,,,0.8066837367382332,,,,,,,,,-0.1974652240536974,-0.2807361388380003,,,,,,,,,,,0.6562199238959199,,,,,,,0.1015927232523823,,,,,,-0.9962181468021898,-0.5953725326934773,,,,,,,,-0.4649581581513218,,,,,,0.0838260128942085,,,,,,,,,,,,-0.3646932103314942,,-0.8480110291596635,,,,,,,,,,,,,0.7819135451792538,,0.367342915953194,,,0.8153278524023635,,,,,,,,,,,,,,,,,,,,,,,,0.8620342285337266,,0.3064296230591732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7-0,0.0103507550542241,1.2379510036199997,,0.6454154658544917,,,,,,,,,,0.2122423364489327,,,,0.8854758773575329,,,,,1.0277345179558484,,,,-0.3142782610745148,-0.609665941108867,,,,,,,,,,,,,,,,,,,,,,,,-0.9962181468021898,,,,,,,,,-0.7097195562576137,,,,,,0.3130767773969735,,,,,,,,,,,,-0.3545235686471865,,-0.9159587273334672,,,,,0.739806477561973,,,,,,,,0.6888293816330313,,,,,0.8153278524023635,,,,,,,,,,,,,,,,,,,-0.0901628375649649,,,,,0.8620342285337266,-0.2202163494560964,-0.00534028104646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8-2,0.2365129110180753,0.7758931293672745,,0.5341025599492404,,,,0.083316923618145,,,,,,,,,,0.9244814139868576,,,,,1.0277345179558484,,,,-0.3905392245060844,-0.3422347287807258,,,,,,,,0.0792890106257211,,,0.9234238307196476,0.2026593937930583,,,,,,,,,,,,-0.8112874782337967,,,,,,,,,,,,,,,0.0877980006483053,,,,,,,,,0.7105557873305173,,,-0.350365387876942,,-0.94374130027944,,,,,,,,,,,,,,,,,,0.8153278524023635,,,,,,,,,,,,,,,,,,,-0.1026133276225339,,,,,0.7988262288488368,-0.2202163494560964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
